date,Temperature,Dew,Humidity,Pressure
01-01-2012,25.3,23.26,17.82,100.63
02-01-2012,25.49,22.97,17.52,100.64
03-01-2012,25.76,22.97,17.52,100.63
04-01-2012,25.57,23.01,17.58,100.67
05-01-2012,25.17,22.4,16.85,100.83
06-01-2012,24.57,21.44,15.87,100.93
07-01-2012,24.29,21.19,15.62,100.99
08-01-2012,24.01,21.41,15.87,100.95
09-01-2012,24.58,21.37,15.81,100.81
10-01-2012,24.57,21.12,15.62,100.74
11-01-2012,24.33,20.35,14.89,100.81
12-01-2012,24.17,20.5,15.01,100.82
13-01-2012,23.77,19.9,14.47,100.91
14-01-2012,22.53,17.61,12.51,100.84
15-01-2012,21.5,16.15,11.41,100.74
16-01-2012,21.4,16.43,11.66,100.61
17-01-2012,22.07,16.07,11.41,100.51
18-01-2012,22.08,17.73,12.7,100.44
19-01-2012,22.56,18.55,13.37,100.47
20-01-2012,22.85,17.95,12.82,100.57
21-01-2012,22.85,18.15,13,100.64
22-01-2012,22.99,18.57,13.31,100.79
23-01-2012,22.67,17.8,12.63,100.82
24-01-2012,22.86,17.72,12.63,100.78
25-01-2012,22.96,18.47,13.24,100.72
26-01-2012,23.5,18.48,13.24,100.71
27-01-2012,24.18,18.74,13.49,100.69
28-01-2012,23.77,19.55,14.16,100.65
29-01-2012,23.67,19.01,13.67,100.63
30-01-2012,23.99,18.33,13.12,100.75
31-01-2012,23.93,18.65,13.37,100.86
01-02-2012,23.39,18.67,13.37,100.86
02-02-2012,23.61,19.03,13.67,100.88
03-02-2012,23.69,18.48,13.18,100.9
04-02-2012,23.12,18.37,13.12,100.82
05-02-2012,23.35,18.87,13.55,100.78
06-02-2012,23.83,19.16,13.85,100.71
07-02-2012,23.86,19.64,14.28,100.63
08-02-2012,25.04,19.56,14.22,100.53
09-02-2012,25.39,20.11,14.71,100.52
10-02-2012,25.73,21.07,15.62,100.55
11-02-2012,25.25,20.96,15.5,100.61
12-02-2012,25.47,20.4,14.95,100.68
13-02-2012,25.16,20.59,15.14,100.73
14-02-2012,25.22,20.38,14.95,100.73
15-02-2012,25.28,19.99,14.65,100.59
16-02-2012,25.57,20.85,15.44,100.44
17-02-2012,25.3,20.44,15.01,100.56
18-02-2012,24.65,19.75,14.4,100.7
19-02-2012,24.75,19.21,13.98,100.71
20-02-2012,25.64,18.16,13.12,100.55
21-02-2012,25.69,19.04,13.85,100.44
22-02-2012,25.58,18.8,13.61,100.43
23-02-2012,25.13,16.51,11.96,100.44
24-02-2012,25.51,15.91,11.47,100.39
25-02-2012,25.29,15.84,11.41,100.29
26-02-2012,25.44,17.64,12.82,100.29
27-02-2012,25.35,17.78,12.94,100.31
28-02-2012,26.37,17.73,13,100.19
29-02-2012,27.38,21.89,16.6,100.09
01-03-2012,28.02,22.96,17.7,100.21
02-03-2012,28.22,22.6,17.33,100.16
03-03-2012,28.55,22.43,17.33,100.11
04-03-2012,28.44,22.8,17.58,100.24
05-03-2012,27.73,22.57,17.21,100.37
06-03-2012,27.61,20.17,15.2,100.3
07-03-2012,27.82,20.31,15.26,100.08
08-03-2012,28.84,21.38,16.11,100.03
09-03-2012,29.2,21.14,16.42,100.04
10-03-2012,28.48,21.44,16.24,100.12
11-03-2012,27.69,20.62,15.38,100.33
12-03-2012,28.23,21.55,16.11,100.55
13-03-2012,28.46,22.89,17.46,100.62
14-03-2012,29.12,22.61,17.21,100.62
15-03-2012,29.44,22.09,16.72,100.62
16-03-2012,29.42,21.64,16.36,100.58
17-03-2012,29.31,20.9,15.87,100.49
18-03-2012,29.18,21,15.87,100.5
19-03-2012,29.27,19.76,14.83,100.46
20-03-2012,29.69,20.01,15.14,100.4
21-03-2012,29.18,21.83,16.6,100.38
22-03-2012,29.45,21.37,16.3,100.41
23-03-2012,29.01,20.87,15.75,100.48
24-03-2012,28.28,19.11,14.16,100.55
25-03-2012,27.69,18.53,13.61,100.56
26-03-2012,27.55,18.74,13.67,100.64
27-03-2012,28.13,19.49,14.28,100.69
28-03-2012,28.99,21.65,16.24,100.78
29-03-2012,29.85,21.33,16.11,100.65
30-03-2012,30.21,21.59,16.54,100.41
31-03-2012,29.79,22.21,16.97,100.48
01-04-2012,29.18,21.29,15.99,100.56
02-04-2012,29.37,20.31,15.14,100.65
03-04-2012,29.6,20.19,15.08,100.69
04-04-2012,30.08,19.82,14.89,100.57
05-04-2012,30.48,20.29,15.38,100.33
06-04-2012,30.45,21.73,16.6,100.29
07-04-2012,30.64,22.78,17.58,100.24
08-04-2012,30.6,22.78,17.52,100.28
09-04-2012,30.73,22.18,16.97,100.32
10-04-2012,30.98,22.53,17.33,100.32
11-04-2012,30.83,22.41,17.21,100.27
12-04-2012,30.89,22.32,17.15,100.21
13-04-2012,30.92,22.24,17.03,100.23
14-04-2012,30.09,22.49,17.21,100.37
15-04-2012,29.98,21.73,16.48,100.38
16-04-2012,30.63,22.17,17.03,100.27
17-04-2012,31.44,21.99,17.03,100.07
18-04-2012,31.25,22.94,17.88,100.02
19-04-2012,31.4,22.55,17.4,100.11
20-04-2012,30.8,22.75,17.52,100.24
21-04-2012,31.88,21.39,16.24,100.14
22-04-2012,31.05,22.48,17.4,99.97
23-04-2012,30.3,23.8,18.68,100
24-04-2012,30.98,22.73,17.64,100.09
25-04-2012,29.97,22.82,17.52,100.22
26-04-2012,28.93,24.19,18.98,100.22
27-04-2012,29.22,24.68,19.53,100.14
28-04-2012,30.88,23.82,18.62,99.99
29-04-2012,30.54,23.88,18.74,99.99
30-04-2012,29.9,24.2,19.17,99.94
01-05-2012,30.43,24.7,19.65,99.95
02-05-2012,30.76,23.97,18.8,100.04
03-05-2012,31.92,23.31,18.25,99.91
04-05-2012,33.19,21.93,16.97,99.76
05-05-2012,33.33,20.96,15.99,99.85
06-05-2012,33.62,20.13,15.14,99.98
07-05-2012,32.83,21.81,16.66,99.97
08-05-2012,32.44,22.05,16.97,100
09-05-2012,32.45,22.73,17.7,100.08
10-05-2012,31.43,23.55,18.43,100.21
11-05-2012,30,24.4,19.29,100.1
12-05-2012,30.59,24.45,19.35,99.94
13-05-2012,31.08,23.03,17.82,99.96
14-05-2012,31.15,23.94,18.8,100
15-05-2012,31.91,24.02,18.92,100.02
16-05-2012,31.4,22.78,17.58,99.96
17-05-2012,33.25,22.78,17.7,99.77
18-05-2012,34.12,22.01,16.91,99.81
19-05-2012,33.32,23.81,18.74,99.87
20-05-2012,31.44,23.95,18.8,99.89
21-05-2012,30.66,23.58,18.31,99.87
22-05-2012,30.94,22.75,17.52,99.88
23-05-2012,31.34,22.65,17.46,99.9
24-05-2012,32.33,22.42,17.21,99.77
25-05-2012,32.65,21.1,15.93,99.7
26-05-2012,30.79,22.8,17.52,99.85
27-05-2012,32.84,21.5,16.24,99.72
28-05-2012,33.88,20.69,15.56,99.61
29-05-2012,31.96,21.68,16.42,99.79
30-05-2012,32.27,22.37,17.15,99.72
31-05-2012,33.84,21.44,16.3,99.53
01-06-2012,33.97,20.05,14.89,99.61
02-06-2012,34.48,20.2,15.14,99.6
03-06-2012,35.26,19.5,14.47,99.57
04-06-2012,31.99,21.33,16.24,99.8
05-06-2012,34.53,21.01,15.87,99.67
06-06-2012,33.27,18.8,13.85,99.7
07-06-2012,33.64,19.91,14.77,99.68
08-06-2012,29.37,20.28,15.01,99.95
09-06-2012,31.27,20.33,15.2,99.88
10-06-2012,31.83,20.87,15.69,99.85
11-06-2012,32.67,19.57,14.71,99.73
12-06-2012,31.8,21.5,16.42,99.74
13-06-2012,30.59,22.63,17.33,99.88
14-06-2012,30.27,23.76,18.62,99.93
15-06-2012,29.87,22.78,17.52,99.9
16-06-2012,30.09,22.69,17.46,99.84
17-06-2012,29.24,21.55,16.24,99.92
18-06-2012,29.06,21.31,15.93,100.04
19-06-2012,30.43,18.75,13.73,99.95
20-06-2012,31.51,18.12,13.31,99.79
21-06-2012,31.73,18.98,13.98,99.87
22-06-2012,31.71,19.14,14.28,99.9
23-06-2012,32.37,20.09,15.01,99.83
24-06-2012,31.35,21.21,16.05,99.89
25-06-2012,30.24,22.07,16.78,100.09
26-06-2012,30.62,22.56,17.27,100.13
27-06-2012,29.48,22.71,17.4,100.16
28-06-2012,29.01,22.05,16.72,100.11
29-06-2012,29.67,22.11,16.78,99.96
30-06-2012,29.05,22.9,17.64,99.78
01-07-2012,29.02,22.48,17.27,99.65
02-07-2012,28.66,21.87,16.6,99.61
03-07-2012,29.82,21.87,16.6,99.54
04-07-2012,30.34,21.08,15.81,99.52
05-07-2012,30.94,21.46,16.3,99.66
06-07-2012,30.01,22.31,17.03,99.77
07-07-2012,30.15,22.87,17.7,99.67
08-07-2012,29.44,22.72,17.52,99.68
09-07-2012,28.7,23.26,18.01,99.77
10-07-2012,29.12,23.32,18.13,99.81
11-07-2012,29.51,22.76,17.46,99.9
12-07-2012,30,23.53,18.31,99.94
13-07-2012,30.05,23.41,18.19,99.88
14-07-2012,28.1,23.9,18.68,99.91
15-07-2012,28.33,23.3,18.01,99.99
16-07-2012,28.53,22.9,17.58,100.12
17-07-2012,28.11,23.99,18.74,100.18
18-07-2012,28.57,23.34,18.07,100.15
19-07-2012,29.81,21.67,16.36,100.01
20-07-2012,29.56,22.32,17.03,99.89
21-07-2012,29.99,23.15,17.94,99.9
22-07-2012,29.97,22.96,17.7,99.84
23-07-2012,30.22,23,17.76,99.75
24-07-2012,29.9,22.74,17.52,99.76
25-07-2012,30.28,22.53,17.27,99.85
26-07-2012,30.3,22.65,17.4,99.87
27-07-2012,30.01,22.37,17.15,99.78
28-07-2012,29.94,22.08,16.85,99.83
29-07-2012,30.37,21.27,15.99,99.99
30-07-2012,29.88,20.84,15.56,100.07
